country,elo
Morocco,1550.3110231575527
France,1526.9424884836735
Ecuador,1476.384301214183
South Africa,1566.4506864078144
Wales,1596.2887601076525
Switzerland,1543.2344153984973
Croatia,1419.978833232558
Senegal,1444.9657356043222
Australia,1472.1687242808464
Italy,1552.1200808120086
Austria,1349.1408113059904
Brazil,1584.4205400624273
Germany,1612.492653354749
Egypt,1474.5751371526637
Poland,1320.293828349923
Panama,1534.7884844639475
Argentina,1558.5758438256255
Iran,1415.429223742729
Qatar,1475.9737007592698
England,1590.029026433666
South Korea,1446.432279817385
New Zealand,1346.8638145508928
Portugal,1684.0864628697177
Turkey,1571.6601975404335
Canada,1478.7088643106554
Spain,1648.099465697014
Mexico,1476.791935515208
Saudi Arabia,1504.3516670498348
Colombia,1605.5391874293018
Ukraine,1625.6544223389585
Netherlands,1492.0844324216168
Cameroon,1490.2683436112527
Chile,1502.0270080910561
Algeria,1584.0141281197227
Peru,1499.1030241168946
Iraq,1415.433497050148
Ghana,1436.6395410240857
Nigeria,1468.9575748422167
Jamaica,1404.290935616279
Costa Rica,1568.506216934731
Uzbekistan,1378.2350306410547
Belgium,1418.5596976199286
Denmark,1577.7762928916773
Japan,1375.6874305507386
Tunisia,1414.1459329499414
Sweden,1471.9665742334425
USA,1478.4895456699498
Uruguay,1571.0621983457636
