date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo,away_elo,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,h2h_win_rate,h2h_goals_diff,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,fifa_rank_diff,fifa_points_diff,home_squad_rating_avg,home_squad_stamina_avg,home_squad_injury_risk_avg,home_squad_goals_total,home_squad_assists_total,home_squad_def_rating,home_squad_fwd_rating,home_squad_gk_rating,home_squad_mid_rating,away_squad_rating_avg,away_squad_stamina_avg,away_squad_injury_risk_avg,away_squad_goals_total,away_squad_assists_total,away_squad_def_rating,away_squad_fwd_rating,away_squad_gk_rating,away_squad_mid_rating,squad_rating_diff,squad_fwd_diff,squad_def_diff,squad_mid_diff,outcome
2018-01-01,Morocco,France,0,2,AFC Asian Cup,1,1500.0,1500.0,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,17,1682,2,1860,15,-178,83.6086956521739,80.08695652173913,23.82608695652174,76,2.1739130434782608,82.0,85.0,82.0,85.125,89.6086956521739,80.26086956521739,23.956521739130434,115,4.304347826086956,89.625,91.5,88.0,89.25,-6.0,-6.5,-7.625,-4.125,-1
2018-01-01,Argentina,Egypt,1,2,Nations League,1,1500.0,1533.75,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,1,1867,35,1507,-34,360,91.17391304347827,79.6086956521739,25.391304347826086,108,3.869565217391304,91.625,89.5,90.33333333333333,91.875,78.6086956521739,80.0,24.130434782608695,69,3.1739130434782608,78.0,78.25,79.0,79.25,12.565217391304358,11.25,13.625,12.625,-1
2018-01-01,Poland,Italy,0,3,UEFA Euro,1,1500.0,1477.5,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,27,1549,11,1721,16,-172,80.30434782608695,83.3913043478261,22.391304347826086,101,2.4782608695652173,79.625,82.0,82.33333333333333,79.375,84.56521739130434,78.3913043478261,26.304347826086957,82,2.5217391304347827,85.625,83.0,82.33333333333333,85.125,-4.260869565217391,-1.0,-6.0,-5.75,-1
2018-01-01,Germany,Egypt,2,4,AFC Asian Cup,1,1500.0,1500.0,1.2,1.2,0.33,2.0,1.0,1.0,0.5,0.0,10,1695,35,1507,-25,188,84.73913043478261,78.95652173913044,24.695652173913043,75,3.130434782608696,84.625,84.5,85.66666666666667,84.625,78.6086956521739,80.0,24.130434782608695,69,3.1739130434782608,78.0,78.25,79.0,79.25,6.1304347826087024,6.25,6.625,5.375,-1
2018-01-01,Morocco,Brazil,0,0,Africa Cup of Nations,1,1466.25,1500.0,0.0,2.0,0.0,1.0,1.2,0.33,0.5,0.0,17,1682,3,1799,14,-117,83.6086956521739,80.08695652173913,23.82608695652174,76,2.1739130434782608,82.0,85.0,82.0,85.125,90.69565217391305,80.73913043478261,21.565217391304348,96,4.130434782608695,90.75,90.5,92.0,90.25,-7.08695652173914,-5.5,-8.75,-5.125,0
2018-01-01,Brazil,Panama,3,0,UEFA Euro,0,1497.8211920002802,1500.0,0.0,0.0,0.5,1.0,1.2,0.33,0.5,0.0,3,1799,36,1460,-33,339,90.69565217391305,80.73913043478261,21.565217391304348,96,4.130434782608695,90.75,90.5,92.0,90.25,75.65217391304348,80.95652173913044,21.47826086956522,55,2.739130434782609,73.75,78.75,76.33333333333333,75.75,15.043478260869563,11.75,17.0,14.5,1
2018-01-01,Senegal,Australia,1,0,Friendly,0,1500.0,1500.0,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,18,1615,25,1571,-7,44,82.0,81.73913043478261,26.956521739130434,85,3.0,82.875,82.0,80.66666666666667,81.625,77.95652173913044,81.95652173913044,27.434782608695652,63,3.608695652173913,77.0,77.5,77.66666666666667,79.25,4.043478260869563,4.5,5.875,2.375,1
2018-01-01,Switzerland,Croatia,0,0,Friendly,0,1522.5,1500.0,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,24,1612,8,1729,16,-117,81.52173913043478,79.78260869565217,24.52173913043478,83,3.869565217391304,82.0,82.75,82.0,80.25,83.1304347826087,83.73913043478261,24.0,71,3.260869565217391,83.5,81.5,81.33333333333333,84.25,-1.608695652173921,1.25,-1.5,-4.0,0
2018-01-01,Wales,Switzerland,0,1,Nations League,1,1500.0,1500.0,1.2,1.2,0.33,0.0,0.0,0.5,0.5,0.0,33,1522,24,1612,9,-90,76.91304347826087,82.26086956521739,26.608695652173914,75,3.739130434782609,78.25,77.25,74.66666666666667,76.25,81.52173913043478,79.78260869565217,24.52173913043478,83,3.869565217391304,82.0,82.75,82.0,80.25,-4.608695652173907,-5.5,-3.75,-4.0,-1
2018-01-01,Ecuador,South Africa,0,0,Africa Cup of Nations,1,1500.0,1500.0,1.2,1.2,0.33,1.0,1.2,0.33,0.5,0.0,29,1543,40,1398,-11,145,80.08695652173913,79.08695652173913,21.565217391304348,79,3.0869565217391304,81.25,78.75,77.66666666666667,80.5,74.21739130434783,81.91304347826087,21.695652173913043,102,2.6956521739130435,74.25,74.75,74.66666666666667,73.75,5.8695652173912976,4.0,7.0,6.75,0
