country,rank,points,confederation,date
Argentina,1,1867,CONMEBOL,2018-06-01
France,2,1860,UEFA,2018-06-01
Brazil,3,1799,CONMEBOL,2018-06-01
Spain,4,1815,UEFA,2018-06-01
England,5,1797,UEFA,2018-06-01
Belgium,6,1779,UEFA,2018-06-01
Netherlands,7,1754,UEFA,2018-06-01
Croatia,8,1729,UEFA,2018-06-01
Portugal,9,1735,UEFA,2018-06-01
Germany,10,1695,UEFA,2018-06-01
Italy,11,1721,UEFA,2018-06-01
Colombia,12,1685,CONMEBOL,2018-06-01
USA,13,1661,CONCACAF,2018-06-01
Iran,14,1596,AFC,2018-06-01
Uruguay,15,1652,CONMEBOL,2018-06-01
Japan,16,1640,AFC,2018-06-01
Morocco,17,1682,CAF,2018-06-01
Senegal,18,1615,CAF,2018-06-01
Mexico,19,1641,CONCACAF,2018-06-01
South Korea,20,1605,AFC,2018-06-01
Ukraine,21,1584,UEFA,2018-06-01
Denmark,22,1615,UEFA,2018-06-01
Austria,23,1575,UEFA,2018-06-01
Switzerland,24,1612,UEFA,2018-06-01
Australia,25,1571,AFC,2018-06-01
Turkey,26,1568,UEFA,2018-06-01
Poland,27,1549,UEFA,2018-06-01
Sweden,28,1517,UEFA,2018-06-01
Ecuador,29,1543,CONMEBOL,2018-06-01
Nigeria,30,1507,CAF,2018-06-01
Canada,31,1496,CONCACAF,2018-06-01
Peru,32,1489,CONMEBOL,2018-06-01
Wales,33,1522,UEFA,2018-06-01
Algeria,34,1480,CAF,2018-06-01
Egypt,35,1507,CAF,2018-06-01
Panama,36,1460,CONCACAF,2018-06-01
Qatar,37,1482,AFC,2018-06-01
Tunisia,38,1491,CAF,2018-06-01
Chile,39,1479,CONMEBOL,2018-06-01
South Africa,40,1398,CAF,2018-06-01
Cameroon,41,1466,CAF,2018-06-01
Ghana,42,1407,CAF,2018-06-01
Costa Rica,43,1429,CONCACAF,2018-06-01
Saudi Arabia,44,1443,AFC,2018-06-01
Uzbekistan,45,1411,AFC,2018-06-01
Jamaica,46,1435,CONCACAF,2018-06-01
Iraq,47,1416,AFC,2018-06-01
New Zealand,48,1228,OFC,2018-06-01
Argentina,1,1866,CONMEBOL,2018-11-28
France,2,1856,UEFA,2018-11-28
Spain,3,1820,UEFA,2018-11-28
England,4,1812,UEFA,2018-11-28
Brazil,5,1783,CONMEBOL,2018-11-28
Portugal,6,1750,UEFA,2018-11-28
Belgium,7,1775,UEFA,2018-11-28
Italy,8,1726,UEFA,2018-11-28
Croatia,9,1710,UEFA,2018-11-28
Netherlands,10,1729,UEFA,2018-11-28
Germany,11,1720,UEFA,2018-11-28
Morocco,12,1670,CAF,2018-11-28
Colombia,13,1683,CONMEBOL,2018-11-28
USA,14,1635,CONCACAF,2018-11-28
Mexico,15,1663,CONCACAF,2018-11-28
Uruguay,16,1678,CONMEBOL,2018-11-28
Switzerland,17,1629,UEFA,2018-11-28
Senegal,18,1613,CAF,2018-11-28
Denmark,19,1612,UEFA,2018-11-28
Japan,20,1617,AFC,2018-11-28
Australia,21,1584,AFC,2018-11-28
Austria,22,1579,UEFA,2018-11-28
Ecuador,23,1541,CONMEBOL,2018-11-28
Iran,24,1602,AFC,2018-11-28
South Korea,25,1601,AFC,2018-11-28
Sweden,26,1540,UEFA,2018-11-28
Wales,27,1510,UEFA,2018-11-28
Ukraine,28,1578,UEFA,2018-11-28
Turkey,29,1546,UEFA,2018-11-28
Poland,30,1537,UEFA,2018-11-28
Chile,31,1500,CONMEBOL,2018-11-28
Panama,32,1475,CONCACAF,2018-11-28
Qatar,33,1497,AFC,2018-11-28
