date,home_team,away_team,home_score,away_score,tournament,neutral
2018-01-01,Morocco,France,0,2,AFC Asian Cup,1
2018-01-01,Brazil,Panama,3,0,UEFA Euro,0
2018-01-01,Poland,Italy,0,3,UEFA Euro,1
2018-01-01,Germany,Egypt,2,4,AFC Asian Cup,1
2018-01-01,Morocco,Brazil,0,0,Africa Cup of Nations,1
2018-01-01,Argentina,Egypt,1,2,Nations League,1
2018-01-01,Senegal,Australia,1,0,Friendly,0
2018-01-01,Switzerland,Croatia,0,0,Friendly,0
2018-01-01,Wales,Switzerland,0,1,Nations League,1
2018-01-01,Italy,Austria,1,2,Nations League,0
2018-01-01,Ecuador,South Africa,0,0,Africa Cup of Nations,1
2018-01-26,Colombia,Ukraine,0,0,World Cup Qualification,0
2018-01-26,Germany,Argentina,4,2,Friendly,1
2018-01-26,Netherlands,Nigeria,1,0,Friendly,1
2018-01-26,Iraq,Ghana,3,0,Africa Cup of Nations,1
2018-01-26,Portugal,Peru,4,3,Africa Cup of Nations,1
2018-01-26,Chile,Algeria,1,1,AFC Asian Cup,0
2018-01-26,Turkey,Morocco,1,0,Nations League,1
2018-01-26,Netherlands,Cameroon,2,2,Copa America,1
2018-01-26,Canada,Panama,0,0,Friendly,0
2018-01-26,New Zealand,England,0,0,Africa Cup of Nations,0
2018-01-26,Colombia,Italy,1,0,Africa Cup of Nations,1
2018-01-26,Australia,Iran,0,0,Nations League,1
2018-01-26,Mexico,Saudi Arabia,2,1,AFC Asian Cup,1
2018-01-26,Ecuador,Spain,0,0,Friendly,1
2018-01-26,Turkey,Canada,2,2,Nations League,1
2018-01-26,New Zealand,Portugal,4,1,Africa Cup of Nations,1
2018-01-26,England,South Korea,0,2,Copa America,0
2018-01-26,Qatar,Iran,2,0,Africa Cup of Nations,0
2018-01-26,Germany,Poland,1,0,Friendly,0
2018-02-11,South Korea,Netherlands,0,0,AFC Asian Cup,0
2018-02-11,Egypt,France,2,1,UEFA Euro,0
2018-02-11,England,Ghana,4,0,World Cup Qualification,1
2018-02-11,Austria,Cameroon,2,0,Africa Cup of Nations,0
2018-02-11,Portugal,New Zealand,2,1,Friendly,1
2018-02-11,Ghana,Saudi Arabia,2,0,Friendly,0
2018-02-11,Belgium,Ukraine,0,0,World Cup Qualification,0
2018-02-11,Algeria,Qatar,3,0,Copa America,0
2018-02-11,Brazil,Canada,1,1,World Cup Qualification,1
2018-02-11,Uzbekistan,South Korea,0,1,Nations League,0
2018-02-11,Austria,Italy,2,1,AFC Asian Cup,0
2018-02-11,Chile,Argentina,3,0,Nations League,0
2018-02-11,Ghana,Senegal,1,0,Africa Cup of Nations,0
2018-02-11,Canada,Austria,0,3,Nations League,0
2018-02-11,Algeria,Spain,0,3,UEFA Euro,0
2018-02-11,Egypt,Senegal,1,3,AFC Asian Cup,0
2018-02-11,Cameroon,Peru,3,2,UEFA Euro,0
2018-02-11,Jamaica,Costa Rica,2,0,UEFA Euro,1
2018-02-11,Mexico,Germany,2,2,AFC Asian Cup,1
2018-02-22,Italy,France,0,1,World Cup Qualification,1
2018-02-22,Senegal,Italy,1,0,Copa America,1
2018-02-22,Portugal,Denmark,3,0,Nations League,1
2018-02-22,Belgium,Japan,0,0,Nations League,0
2018-02-22,Tunisia,Croatia,1,0,AFC Asian Cup,0
2018-02-22,Iraq,Mexico,1,0,AFC Asian Cup,0
2018-02-22,Panama,Portugal,0,4,UEFA Euro,1
2018-02-22,Switzerland,Algeria,0,2,World Cup Qualification,1
2018-02-22,New Zealand,Belgium,1,1,Nations League,0
2018-02-22,Spain,Croatia,1,0,Nations League,0
2018-02-22,Peru,Wales,1,4,Africa Cup of Nations,1
2018-02-22,England,Portugal,0,0,Copa America,0
2018-02-22,South Korea,South Africa,2,0,UEFA Euro,1
2018-02-22,Iran,Australia,1,0,Friendly,0
2018-02-22,Peru,Canada,0,0,AFC Asian Cup,1
2018-02-22,Spain,Senegal,0,0,Friendly,0
2018-02-22,Ghana,Jamaica,0,2,World Cup Qualification,0
2018-02-22,France,Spain,3,0,World Cup Qualification,1
2018-02-22,New Zealand,Costa Rica,0,4,World Cup Qualification,1
2018-02-22,Spain,Wales,3,0,AFC Asian Cup,0
2018-02-22,Wales,Chile,0,0,Friendly,1
2018-03-16,Italy,Ghana,1,0,AFC Asian Cup,0
2018-03-16,Iran,Japan,1,4,Nations League,1
2018-03-16,Costa Rica,Colombia,0,0,Nations League,0
2018-03-16,Austria,Belgium,0,0,Africa Cup of Nations,1
2018-03-16,Jamaica,Ecuador,3,1,Copa America,1
2018-03-16,Senegal,Denmark,0,0,UEFA Euro,1
2018-03-16,Nigeria,Netherlands,1,2,UEFA Euro,1
2018-03-16,Brazil,Australia,3,0,World Cup Qualification,1
2018-03-16,Denmark,Cameroon,1,0,World Cup Qualification,0
2018-03-16,Belgium,Ghana,1,3,UEFA Euro,1
2018-03-16,Nigeria,Cameroon,0,2,UEFA Euro,0
2018-03-16,Costa Rica,Chile,3,2,Africa Cup of Nations,1
2018-03-16,Tunisia,Costa Rica,2,0,Nations League,0
2018-03-16,England,Croatia,3,0,Friendly,0
2018-03-16,Belgium,Germany,4,3,World Cup Qualification,0
2018-03-16,Argentina,Sweden,0,0,AFC Asian Cup,1
2018-03-16,Sweden,Belgium,0,0,Copa America,1
2018-03-16,Saudi Arabia,Iraq,1,0,Copa America,0
2018-03-26,Colombia,Nigeria,0,1,UEFA Euro,1
2018-03-26,South Korea,Mexico,0,0,AFC Asian Cup,0
2018-03-26,Colombia,Australia,1,0,Friendly,1
2018-03-26,Iraq,Sweden,1,0,Friendly,0
2018-03-26,Morocco,Qatar,2,0,AFC Asian Cup,1
2018-03-26,Uzbekistan,Spain,0,1,UEFA Euro,0
2018-03-26,Peru,Senegal,1,2,Nations League,1
2018-03-26,Saudi Arabia,South Korea,2,0,Africa Cup of Nations,1
2018-03-26,Portugal,Ecuador,2,1,AFC Asian Cup,1
2018-03-26,Netherlands,Uzbekistan,0,0,Africa Cup of Nations,1
2018-03-26,Iraq,Netherlands,0,3,Friendly,0
2018-03-26,Denmark,Argentina,0,0,AFC Asian Cup,1
2018-03-26,New Zealand,Argentina,0,1,Nations League,1
2018-03-26,Germany,Morocco,0,0,World Cup Qualification,1
2018-03-26,Nigeria,Canada,1,0,AFC Asian Cup,1
2018-03-26,Netherlands,Italy,3,0,AFC Asian Cup,0
2018-03-26,Brazil,Ukraine,2,0,UEFA Euro,0
2018-03-26,Australia,Italy,2,1,Friendly,1
2018-03-26,Switzerland,Brazil,2,0,Africa Cup of Nations,0
2018-03-26,Egypt,Saudi Arabia,2,0,UEFA Euro,1
2018-04-12,Egypt,Iraq,3,5,Friendly,0
2018-04-12,Qatar,Egypt,2,0,Copa America,1
2018-04-12,Germany,Panama,2,0,Friendly,0
2018-04-12,Algeria,New Zealand,1,0,UEFA Euro,1
2018-04-12,Ecuador,Mexico,1,0,Copa America,0
2018-04-12,Brazil,Uruguay,2,0,Nations League,0
2018-04-12,Senegal,Italy,0,3,Nations League,1
2018-04-12,France,South Korea,1,1,World Cup Qualification,0
2018-04-12,Peru,Algeria,2,4,World Cup Qualification,0
2018-04-12,Algeria,Tunisia,2,1,AFC Asian Cup,0
2018-04-12,Senegal,Ukraine,0,0,Africa Cup of Nations,0
2018-04-12,Costa Rica,Uruguay,0,1,Copa America,1
2018-04-12,Turkey,Belgium,4,0,UEFA Euro,1
2018-04-12,Algeria,Qatar,0,0,AFC Asian Cup,0
2018-04-12,Italy,Iran,1,0,Nations League,0
2018-04-12,Tunisia,Canada,1,0,UEFA Euro,0
2018-04-12,Ecuador,Sweden,1,1,Nations League,1
2018-04-12,Switzerland,Senegal,0,0,Africa Cup of Nations,1
2018-04-12,Germany,Ghana,1,0,Friendly,1
2018-04-12,Portugal,Italy,0,0,AFC Asian Cup,1
2018-04-12,Germany,Sweden,2,0,Nations League,0
2018-04-12,Jamaica,Poland,0,3,Nations League,1
2018-04-12,Germany,Brazil,2,3,Copa America,1
2018-04-12,USA,Belgium,2,4,Africa Cup of Nations,0
2018-04-12,Iraq,South Korea,0,2,UEFA Euro,1
2018-04-23,Austria,Japan,2,0,Nations League,0
2018-04-23,Senegal,New Zealand,1,0,World Cup Qualification,1
2018-04-23,Morocco,Italy,0,0,UEFA Euro,0
2018-04-23,Brazil,Japan,1,0,World Cup Qualification,0
2018-04-23,Uruguay,Senegal,3,2,UEFA Euro,1
2018-04-23,Nigeria,Wales,0,0,AFC Asian Cup,1
2018-04-23,USA,Turkey,1,1,Africa Cup of Nations,1
2018-04-23,Jamaica,South Africa,0,1,Copa America,1
2018-04-23,Portugal,Costa Rica,3,0,Friendly,1
2018-04-23,Uzbekistan,Mexico,0,0,UEFA Euro,1
2018-04-23,Algeria,Uzbekistan,1,0,Copa America,1
2018-04-23,Colombia,Germany,0,0,Nations League,1
2018-04-23,Nigeria,Jamaica,4,2,World Cup Qualification,0
2018-04-23,Belgium,Cameroon,4,0,Friendly,0
2018-04-23,Morocco,Turkey,4,4,Africa Cup of Nations,0
2018-04-23,Switzerland,Ghana,0,1,Africa Cup of Nations,1
2018-04-23,Netherlands,Iran,1,0,World Cup Qualification,1
2018-04-23,Australia,Japan,2,3,World Cup Qualification,0
2018-04-23,Jamaica,Spain,2,0,UEFA Euro,0
2018-04-23,Egypt,Peru,0,1,Copa America,1
2018-04-23,Tunisia,New Zealand,0,0,Friendly,1
2018-05-06,Chile,Switzerland,0,1,Africa Cup of Nations,0
2018-05-06,Cameroon,Senegal,1,1,World Cup Qualification,1
2018-05-06,Australia,England,1,0,Africa Cup of Nations,0
2018-05-06,Mexico,Uruguay,2,1,Nations League,1
2018-05-06,Nigeria,Uzbekistan,0,0,World Cup Qualification,1
2018-05-06,Canada,Jamaica,0,4,AFC Asian Cup,1
2018-05-06,Canada,Sweden,0,0,Copa America,0
2018-05-06,Croatia,Nigeria,2,0,AFC Asian Cup,0
2018-05-06,England,Portugal,2,0,Friendly,1
2018-05-06,Peru,Ecuador,0,2,UEFA Euro,1
2018-05-06,Cameroon,Jamaica,3,0,Nations League,1
2018-05-06,Belgium,Canada,2,0,Nations League,0
2018-05-06,France,Chile,0,0,AFC Asian Cup,0
2018-05-06,Wales,Chile,3,3,Friendly,0
2018-05-06,Mexico,Colombia,2,0,Nations League,0
2018-05-06,Uzbekistan,Turkey,0,0,Friendly,0
2018-05-06,Iraq,Ukraine,0,2,UEFA Euro,1
2018-05-06,South Africa,Spain,2,1,Nations League,1
2018-05-06,South Korea,USA,1,2,Friendly,0
2018-05-06,Ukraine,France,0,0,Africa Cup of Nations,0
2018-05-06,France,Cameroon,2,2,World Cup Qualification,0
2018-05-17,Portugal,Saudi Arabia,2,2,Friendly,1
2018-05-17,Poland,Ghana,4,0,Copa America,0
2018-05-17,Japan,Peru,2,3,Copa America,1
2018-05-17,Iran,Croatia,3,3,Nations League,1
2018-05-17,Wales,Uzbekistan,2,2,UEFA Euro,0
2018-05-17,Panama,Ukraine,0,0,AFC Asian Cup,1
2018-05-17,Australia,Colombia,0,4,Copa America,1
2018-05-17,Ukraine,Australia,2,0,Nations League,0
2018-05-17,Peru,USA,4,0,Nations League,0
2018-05-17,Brazil,Ghana,0,0,Nations League,1
2018-05-17,New Zealand,Switzerland,0,0,Friendly,0
2018-05-17,Canada,Nigeria,2,0,Friendly,1
2018-05-17,Australia,Belgium,3,2,UEFA Euro,1
2018-05-17,South Africa,Algeria,0,3,Friendly,1
2018-05-17,Canada,South Africa,1,0,Copa America,0
2018-05-17,Sweden,Japan,0,0,Africa Cup of Nations,1
2018-05-17,Chile,Iraq,0,0,UEFA Euro,0
2018-05-17,Spain,Qatar,0,0,Friendly,1
2018-05-17,Tunisia,Poland,1,0,UEFA Euro,0
2018-05-17,Sweden,Jamaica,0,0,UEFA Euro,0
2018-05-17,France,South Africa,0,0,AFC Asian Cup,0
2018-05-17,New Zealand,Ukraine,2,0,UEFA Euro,1
2018-06-09,Uruguay,Ghana,3,2,Africa Cup of Nations,1
2018-06-09,Cameroon,Peru,0,0,World Cup Qualification,0
2018-06-09,Uzbekistan,Nigeria,2,1,World Cup Qualification,0
2018-06-09,Ecuador,South Korea,1,0,Friendly,0
2018-06-09,Belgium,Iraq,2,3,Nations League,0
2018-06-09,Mexico,New Zealand,3,3,UEFA Euro,0
2018-06-09,Poland,Sweden,1,3,UEFA Euro,0
2018-06-09,Austria,Switzerland,0,1,Friendly,1
2018-06-09,Switzerland,Saudi Arabia,0,0,World Cup Qualification,1
2018-06-09,Jamaica,Cameroon,2,0,UEFA Euro,1
2018-06-09,Chile,Denmark,2,0,Copa America,1
2018-06-09,Peru,Germany,0,0,Africa Cup of Nations,1
2018-06-09,Algeria,Poland,3,1,Africa Cup of Nations,0
2018-06-09,Algeria,Switzerland,0,0,AFC Asian Cup,1
2018-06-09,Japan,Argentina,1,4,AFC Asian Cup,0
2018-06-09,Poland,Italy,0,2,Copa America,1
2018-06-09,Egypt,Saudi Arabia,1,3,Africa Cup of Nations,1
2018-06-09,France,Iraq,2,0,Copa America,1
2018-06-09,Mexico,Saudi Arabia,0,0,UEFA Euro,1
2018-06-09,Brazil,Iraq,1,0,World Cup Qualification,1
2018-06-09,Argentina,New Zealand,2,3,UEFA Euro,0
2018-06-21,Panama,Tunisia,3,0,Friendly,1
2018-06-21,Jamaica,Colombia,0,0,World Cup Qualification,1
2018-06-21,Saudi Arabia,New Zealand,0,0,Friendly,0
2018-06-21,Mexico,Australia,0,2,Nations League,0
2018-06-21,Poland,USA,1,1,Africa Cup of Nations,1
2018-06-21,Turkey,Colombia,0,0,Africa Cup of Nations,1
2018-06-21,Costa Rica,Jamaica,2,1,Nations League,1
2018-06-21,Argentina,Ecuador,1,0,UEFA Euro,1
2018-06-21,Tunisia,Argentina,0,3,Copa America,0
2018-06-21,South Africa,Senegal,1,1,Africa Cup of Nations,1
2018-06-21,Tunisia,England,0,0,AFC Asian Cup,1
2018-06-21,Colombia,Morocco,2,2,AFC Asian Cup,0
2018-06-21,Saudi Arabia,Ghana,0,0,AFC Asian Cup,1
2018-07-16,Ukraine,Chile,1,2,Nations League,1
2018-07-16,Croatia,Australia,1,0,UEFA Euro,1
2018-07-16,Sweden,Nigeria,2,0,UEFA Euro,0
2018-07-16,Chile,Italy,3,0,Friendly,0
2018-07-16,Austria,Algeria,2,0,AFC Asian Cup,1
2018-07-16,South Africa,Algeria,0,3,AFC Asian Cup,1
2018-07-16,Spain,Australia,0,0,Nations League,1
2018-07-16,Qatar,Netherlands,0,2,Friendly,0
2018-07-16,Ghana,Australia,0,0,Copa America,1
2018-07-16,Ecuador,France,3,1,World Cup Qualification,0
2018-07-16,Switzerland,Iran,0,0,Nations League,1
2018-07-16,Netherlands,Spain,0,1,World Cup Qualification,1
2018-07-16,Switzerland,Algeria,0,1,UEFA Euro,1
2018-07-16,France,Canada,0,0,Nations League,0
2018-07-16,England,Japan,0,0,Nations League,1
2018-07-16,Wales,Egypt,3,0,Friendly,0
2018-07-16,Cameroon,South Africa,0,0,Africa Cup of Nations,1
2018-07-16,Panama,Spain,3,2,AFC Asian Cup,1
2018-07-16,Italy,Senegal,2,0,UEFA Euro,1
2018-08-01,Croatia,Spain,0,3,AFC Asian Cup,0
2018-08-01,Japan,Senegal,1,0,AFC Asian Cup,1
2018-08-01,Colombia,Spain,0,1,Friendly,1
2018-08-01,Colombia,Ukraine,0,3,Copa America,1
2018-08-01,Turkey,Egypt,0,0,Nations League,0
2018-08-01,Portugal,Canada,5,0,Nations League,0
2018-08-01,Croatia,Morocco,0,0,UEFA Euro,0
2018-08-01,Uruguay,Panama,1,0,Copa America,0
2018-08-01,England,Costa Rica,1,3,Friendly,1
2018-08-01,Ghana,Croatia,0,1,AFC Asian Cup,1
2018-08-01,Denmark,Colombia,3,2,UEFA Euro,1
2018-08-01,Nigeria,England,1,2,Friendly,1
2018-08-01,Germany,Nigeria,3,0,Africa Cup of Nations,1
2018-08-01,Tunisia,Senegal,0,0,World Cup Qualification,1
2018-08-01,Spain,Australia,2,0,Nations League,0
2018-08-01,Japan,Peru,0,0,Copa America,1
2018-08-01,USA,Saudi Arabia,0,0,Nations League,1
2018-08-01,Australia,South Korea,0,0,World Cup Qualification,1
2018-08-01,Portugal,Chile,3,0,Nations League,0
2018-08-24,Uzbekistan,Iraq,1,0,UEFA Euro,0
2018-08-24,Costa Rica,Portugal,3,0,World Cup Qualification,1
2018-08-24,Australia,Senegal,0,0,AFC Asian Cup,1
2018-08-24,Argentina,England,0,1,Friendly,1
2018-08-24,Panama,Uzbekistan,2,0,Copa America,0
2018-08-24,Chile,Peru,1,3,World Cup Qualification,0
2018-08-24,Cameroon,Ghana,0,0,AFC Asian Cup,1
2018-08-24,Switzerland,Wales,0,0,Nations League,0
2018-08-24,Nigeria,Ukraine,3,0,UEFA Euro,1
2018-08-24,Nigeria,Italy,4,0,Africa Cup of Nations,1
2018-08-24,Ghana,Poland,2,3,UEFA Euro,1
2018-09-03,Croatia,USA,0,1,Copa America,1
2018-09-03,Spain,Saudi Arabia,0,1,Copa America,0
2018-09-03,Chile,Nigeria,1,2,Copa America,1
2018-09-03,Qatar,France,1,2,Copa America,0
2018-09-03,Tunisia,Switzerland,3,1,Nations League,0
2018-09-03,Nigeria,Portugal,2,2,UEFA Euro,1
2018-09-03,Cameroon,Germany,2,0,AFC Asian Cup,1
2018-09-03,Canada,Brazil,0,3,Nations League,1
2018-09-03,Egypt,Ecuador,4,0,Copa America,0
2018-09-03,Algeria,South Africa,0,2,Friendly,0
2018-09-03,Germany,USA,0,4,Friendly,1
2018-09-03,Nigeria,USA,1,3,World Cup Qualification,0
2018-09-03,Germany,Jamaica,2,0,UEFA Euro,1
2018-09-03,Qatar,Ukraine,0,0,Friendly,0
2018-09-03,France,Canada,1,2,AFC Asian Cup,0
2018-09-03,Colombia,Turkey,0,0,Friendly,0
2018-09-03,Algeria,Iraq,2,3,Africa Cup of Nations,0
2018-09-23,Panama,Spain,1,3,Nations League,1
2018-09-23,Saudi Arabia,Costa Rica,1,1,Nations League,0
2018-09-23,Tunisia,Iraq,0,1,Nations League,1
2018-09-23,Germany,Belgium,2,0,AFC Asian Cup,0
2018-09-23,Tunisia,Costa Rica,2,0,Friendly,1
2018-09-23,Cameroon,Italy,2,3,World Cup Qualification,0
2018-09-23,Nigeria,Jamaica,0,0,Nations League,1
2018-09-23,Tunisia,England,0,0,Nations League,0
2018-09-23,Spain,Egypt,2,0,World Cup Qualification,0
2018-09-23,Ghana,Tunisia,1,0,Africa Cup of Nations,0
2018-09-23,Peru,Italy,0,3,Friendly,0
2018-09-23,Poland,Croatia,2,2,Africa Cup of Nations,1
2018-09-23,Sweden,Egypt,2,0,Nations League,1
2018-09-23,USA,Saudi Arabia,2,0,UEFA Euro,0
2018-09-23,Portugal,Argentina,0,2,Africa Cup of Nations,1
2018-09-23,Portugal,Egypt,2,0,Nations League,0
2018-09-23,England,Chile,2,3,Africa Cup of Nations,0
2018-09-23,New Zealand,Iran,2,0,World Cup Qualification,0
2018-09-23,Sweden,Netherlands,0,0,Friendly,0
2018-10-16,Qatar,Switzerland,2,4,Nations League,1
2018-10-16,Poland,Iraq,0,0,UEFA Euro,0
2018-10-16,Senegal,Turkey,2,0,Friendly,0
2018-10-16,Jamaica,Tunisia,0,0,Friendly,0
2018-10-16,Tunisia,Iraq,1,2,AFC Asian Cup,1
2018-10-16,Belgium,Denmark,1,3,Friendly,1
2018-10-16,Portugal,South Africa,0,2,World Cup Qualification,1
2018-10-16,Switzerland,Poland,1,0,Copa America,1
2018-10-16,Ecuador,Panama,1,0,Copa America,0
2018-10-16,Ghana,Uruguay,0,2,Africa Cup of Nations,1
2018-10-16,Chile,New Zealand,0,2,AFC Asian Cup,1
2018-10-16,Switzerland,Algeria,0,1,Africa Cup of Nations,0
2018-10-16,Ecuador,Germany,0,0,AFC Asian Cup,1
2018-10-16,Peru,Egypt,0,0,Friendly,0
2018-10-16,Chile,Senegal,0,0,AFC Asian Cup,1
2018-10-16,South Korea,Ukraine,2,5,Nations League,0
2018-10-16,Chile,Austria,2,0,UEFA Euro,0
2018-10-16,France,Iraq,3,0,Friendly,0
2018-10-16,Saudi Arabia,Turkey,2,2,Friendly,0
2018-10-16,Ecuador,Brazil,0,0,UEFA Euro,1
2018-11-05,Jamaica,Costa Rica,0,0,AFC Asian Cup,0
2018-11-05,Peru,Spain,1,1,Nations League,1
2018-11-05,Spain,South Africa,0,0,World Cup Qualification,0
2018-11-05,USA,Panama,1,0,Copa America,1
2018-11-05,Saudi Arabia,Algeria,2,2,UEFA Euro,1
2018-11-05,Uzbekistan,Costa Rica,1,1,World Cup Qualification,1
2018-11-05,Ukraine,Iran,1,0,Copa America,1
2018-11-05,Canada,Denmark,0,0,UEFA Euro,1
2018-11-05,Colombia,Senegal,2,0,World Cup Qualification,1
2018-11-05,Colombia,Argentina,1,0,Nations League,0
2018-11-16,Ghana,Iraq,2,0,World Cup Qualification,0
2018-11-16,Austria,Sweden,0,0,Africa Cup of Nations,1
2018-11-16,Senegal,Qatar,0,1,Nations League,1
2018-11-16,Panama,Japan,0,2,World Cup Qualification,0
2018-11-16,Morocco,South Africa,0,3,AFC Asian Cup,1
2018-11-16,Ecuador,Saudi Arabia,0,1,Nations League,0
2018-11-16,Iraq,France,0,2,Africa Cup of Nations,0
2018-11-16,Cameroon,Nigeria,0,2,Friendly,1
2018-11-16,Wales,Italy,0,1,Africa Cup of Nations,1
2018-11-16,Chile,Cameroon,3,0,AFC Asian Cup,1
2018-11-16,Ukraine,Poland,0,0,Friendly,1
2018-11-16,New Zealand,Australia,1,0,Africa Cup of Nations,1
2018-11-16,Chile,Wales,2,1,World Cup Qualification,0
2018-11-16,Ukraine,Sweden,2,0,Nations League,1
2018-11-16,Qatar,Morocco,0,3,Africa Cup of Nations,0
2018-11-16,Algeria,Belgium,0,0,Copa America,0
2018-11-16,Denmark,Algeria,3,0,UEFA Euro,1
2018-11-16,South Africa,Italy,0,0,AFC Asian Cup,1
2018-11-16,Ecuador,Saudi Arabia,0,0,Africa Cup of Nations,1
2018-11-16,Ukraine,Ghana,0,0,UEFA Euro,0
2018-11-16,Egypt,Nigeria,0,4,Copa America,1
2018-11-16,Germany,Costa Rica,1,0,UEFA Euro,1
2018-12-03,Uruguay,Costa Rica,0,0,Nations League,0
2018-12-03,Cameroon,Qatar,0,0,UEFA Euro,1
2018-12-03,Mexico,Colombia,2,0,World Cup Qualification,1
2018-12-03,Denmark,Wales,0,1,Friendly,0
2018-12-03,Chile,Peru,1,0,AFC Asian Cup,1
2018-12-03,France,USA,2,2,AFC Asian Cup,0
2018-12-03,Mexico,Denmark,2,0,Africa Cup of Nations,1
2018-12-03,New Zealand,Belgium,0,1,AFC Asian Cup,1
2018-12-03,Netherlands,Qatar,0,0,Friendly,0
2018-12-03,South Korea,Wales,2,0,AFC Asian Cup,0
2018-12-03,Mexico,Brazil,0,2,AFC Asian Cup,1
2018-12-03,Nigeria,Tunisia,1,0,Africa Cup of Nations,1
2018-12-03,Australia,Spain,0,2,World Cup Qualification,0
2018-12-03,Iraq,Wales,2,2,UEFA Euro,0
2018-12-03,Sweden,Netherlands,0,0,Africa Cup of Nations,1
2018-12-03,Cameroon,Ghana,0,0,World Cup Qualification,1
2018-12-03,Chile,Sweden,2,1,Friendly,1
2018-12-24,Turkey,Uruguay,0,0,Copa America,1
2018-12-24,Poland,Croatia,1,2,AFC Asian Cup,1
2018-12-24,Cameroon,Canada,4,3,Africa Cup of Nations,0
