name,country,position,overall_rating,pace,shooting,passing,defending,stamina,injury_risk,goals_last_season,assists_last_season
Lionel Messi,Argentina,FWD,90,80,88,88,35,75,15,20,18
Lautaro Martinez,Argentina,FWD,87,80,86,72,45,85,10,24,6
Alexis Mac Allister,Argentina,MID,85,72,78,84,78,86,12,8,10
Player 4,Argentina,GK,93,73,68,78,63,91,5,0,1
Player 5,Argentina,GK,89,69,64,74,59,74,23,1,0
Player 6,Argentina,GK,89,69,64,74,59,72,11,5,0
Player 7,Argentina,DEF,90,70,65,75,98,77,26,1,0
Player 8,Argentina,DEF,91,71,66,76,91,80,34,2,1
Player 9,Argentina,DEF,95,75,70,80,94,84,28,0,2
Player 10,Argentina,DEF,91,71,66,76,89,81,32,1,1
Player 11,Argentina,DEF,93,73,68,78,95,78,43,0,2
Player 12,Argentina,DEF,90,70,65,75,86,72,41,2,1
Player 13,Argentina,DEF,95,75,70,80,99,85,37,0,2
Player 14,Argentina,DEF,88,68,63,73,88,75,11,4,1
Player 15,Argentina,MID,95,93,70,99,65,71,16,1,5
Player 16,Argentina,MID,93,97,68,90,63,85,5,4,6
Player 17,Argentina,MID,91,93,66,92,61,77,17,2,2
Player 18,Argentina,MID,94,99,69,94,64,76,13,4,2
Player 19,Argentina,MID,92,77,67,92,62,79,31,3,9
Player 20,Argentina,MID,95,97,70,94,65,74,44,5,8
Player 21,Argentina,MID,90,83,65,85,60,90,43,2,7
Player 22,Argentina,FWD,93,99,97,78,63,86,43,15,0
Player 23,Argentina,FWD,88,74,93,73,58,78,44,4,5
Kylian Mbappe,France,FWD,91,97,90,80,36,88,10,32,10
Antoine Griezmann,France,FWD,88,79,84,87,58,85,12,15,16
William Saliba,France,DEF,86,82,40,68,87,85,10,2,1
Player 4,France,GK,87,67,62,72,57,86,12,3,1
Player 5,France,GK,89,69,64,74,59,80,5,2,0
Player 6,France,GK,88,68,63,73,58,71,23,5,2
Player 7,France,DEF,88,68,63,73,88,78,33,3,1
Player 8,France,DEF,89,69,64,74,87,70,45,5,0
Player 9,France,DEF,86,66,61,71,84,84,43,5,0
Player 10,France,DEF,87,67,62,72,90,77,19,1,1
Player 11,France,DEF,92,72,67,77,87,89,21,2,1
Player 12,France,DEF,94,74,69,79,95,83,13,0,2
Player 13,France,DEF,95,75,70,80,91,80,39,4,2
Player 14,France,MID,89,95,64,86,59,71,39,0,4
Player 15,France,MID,88,98,63,83,58,73,21,1,8
Player 16,France,MID,90,92,65,91,60,73,30,0,0
Player 17,France,MID,87,85,62,85,57,90,34,4,8
Player 18,France,MID,91,97,66,93,61,77,27,4,6
Player 19,France,MID,88,73,63,85,58,76,10,0,6
Player 20,France,MID,95,89,70,96,65,89,26,2,9
Player 21,France,MID,86,95,61,82,56,76,33,5,9
Player 22,France,FWD,93,99,92,78,63,77,17,7,3
Player 23,France,FWD,94,89,85,79,64,88,29,13,9
